 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> October 17, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\Boron in Methane (gas)

 Ion = Boron [5] , Mass = 8 amu

 Target Density =  3.8175E-04 g/cm3 = 7.1648E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    080.00    025.13   
      C      6    020.00    074.87   
 ====================================
 Bragg Correction = 11.07%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    1.584E-02  1.006E-01    3677 A      1642 A       997 A   
    1.2 eV    1.584E-02  1.058E-01    3815 A      1712 A      1090 A   
    1.3 eV    1.649E-02  1.109E-01    3946 A      1782 A      1171 A   
    1.4 eV    1.711E-02  1.157E-01    4072 A      1851 A      1245 A   
    1.5 eV    1.771E-02  1.204E-01    4193 A      1919 A      1312 A   
    1.6 eV    1.830E-02  1.250E-01    4309 A      1986 A      1374 A   
    1.7 eV    1.886E-02  1.294E-01    4421 A      2051 A      1432 A   
    1.8 eV    1.941E-02  1.337E-01    4529 A      2114 A      1487 A   
      2 eV    2.045E-02  1.419E-01    4737 A      2236 A      1589 A   
   2.25 eV    2.170E-02  1.516E-01    4980 A      2380 A      1704 A   
2.49999 eV    2.287E-02  1.607E-01    5210 A      2516 A      1809 A   
2.74999 eV    2.399E-02  1.694E-01    5427 A      2645 A      1906 A   
2.99999 eV    2.505E-02  1.777E-01    5634 A      2767 A      1997 A   
3.24999 eV    2.607E-02  1.856E-01    5832 A      2883 A      2082 A   
3.49999 eV    2.706E-02  1.932E-01    6022 A      2994 A      2163 A   
3.74999 eV    2.801E-02  2.005E-01    6206 A      3100 A      2240 A   
3.99999 eV    2.893E-02  2.075E-01    6383 A      3202 A      2313 A   
