 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> October 17, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Methane (gas)

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  3.8175E-04 g/cm3 = 7.1648E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    080.00    025.13   
      C      6    020.00    074.87   
 ====================================
 Bragg Correction = 0.48%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    1.051E-02  5.478E-02    2405 A      2784 A      1961 A   
    1.2 eV    1.051E-02  5.674E-02    2651 A      3020 A      1883 A   
    1.3 eV    1.093E-02  5.858E-02    2876 A      3086 A      1944 A   
    1.4 eV    1.135E-02  6.031E-02    3086 A      3158 A      2009 A   
    1.5 eV    1.175E-02  6.194E-02    3282 A      3234 A      2078 A   
    1.6 eV    1.213E-02  6.349E-02    3468 A      3314 A      2148 A   
    1.7 eV    1.250E-02  6.495E-02    3644 A      3397 A      2220 A   
    1.8 eV    1.287E-02  6.635E-02    3813 A      3481 A      2292 A   
      2 eV    1.356E-02  6.895E-02    4132 A      3652 A      2440 A   
   2.25 eV    1.438E-02  7.190E-02    4503 A      3871 A      2623 A   
2.49999 eV    1.516E-02  7.458E-02    4850 A      4093 A      2802 A   
2.74999 eV    1.590E-02  7.702E-02    5179 A      4314 A      2978 A   
2.99999 eV    1.661E-02  7.926E-02    5493 A      4532 A      3151 A   
3.24999 eV    1.729E-02  8.134E-02    5796 A      4748 A      3320 A   
3.49999 eV    1.794E-02  8.326E-02    6089 A      4960 A      3485 A   
3.74999 eV    1.857E-02  8.506E-02    6373 A      5169 A      3647 A   
3.99999 eV    1.918E-02  8.674E-02    6650 A      5375 A      3805 A   
